Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Capital Gains
2015-01-02,171.37853820221306,171.7937396125908,169.55164185979788,170.5896453857422,121465900,0.0,0.0,0.0
2015-01-05,169.5433034899103,169.709381481765,167.20157466159998,167.50881958007812,169632600,0.0,0.0,0.0
2015-01-06,167.8160193550773,168.3391769260789,165.13382312888098,165.93101501464844,209151400,0.0,0.0,0.0
2015-01-07,167.25970616027502,168.33923217765732,166.81129428862295,167.99876403808594,125346700,0.0,0.0,0.0
2015-01-08,169.41042852129658,171.19580169970416,169.3938295925036,170.97988891601562,147217800,0.0,0.0,0.0
2015-01-09,171.39513267833408,171.4117442821808,168.9952690955981,169.60977172851562,158567300,0.0,0.0,0.0
2015-01-12,169.7426142329127,169.90039276888027,167.67490700581124,168.28109741210938,144396100,0.0,0.0,0.0
2015-01-13,169.5018318521555,170.63118027606808,166.50407694778815,167.8078155517578,214553300,0.0,0.0,0.0
2015-01-14,165.78990011381592,166.99399421006802,164.89307631509837,166.79469299316406,192991100,0.0,0.0,0.0
2015-01-15,167.43409031416195,167.74963470481038,165.1504830274808,165.26673889160156,176613900,0.0,0.0,0.0
2015-01-16,165.05913006375218,167.5918605542384,164.8764404761802,167.43408203125,211879600,0.0,0.0,0.0
2015-01-20,168.07351737547063,168.33925234676153,166.2217227264478,167.7911834716797,130991100,0.0,0.0,0.0
2015-01-21,167.32610037334743,169.1197727781758,166.8610770100815,168.6381378173828,122942700,0.0,0.0,0.0
2015-01-22,169.39384594565314,171.27885089160938,168.01537446648058,171.14599609375,174356000,0.0,0.0,0.0
2015-01-23,170.8885499035164,171.1459853597701,170.074758882308,170.20762634277344,117516800,0.0,0.0,0.0
2015-01-26,169.99171139496443,170.69754595911,169.27756469592828,170.606201171875,92009700,0.0,0.0,0.0
2015-01-27,168.5468240193283,169.50178198222102,167.52543232505212,168.3558349609375,134044600,0.0,0.0,0.0
2015-01-28,169.54329883800872,169.64294309619982,166.0057882919043,166.19677734375,168514300,0.0,0.0,0.0
2015-01-29,166.39611375631884,167.99048557958827,164.98441888809216,167.73306274414062,173585400,0.0,0.0,0.0
2015-01-30,166.5538233866408,167.88245968739167,165.35804184631002,165.62376403808594,197729700,0.0,0.0,0.0
2015-02-02,166.12204738877088,167.7662410356698,164.30346361569946,167.67489624023438,163107000,0.0,0.0,0.0
2015-02-03,168.57182335381395,170.10807410300268,168.1981445061842,170.09976196289062,124212900,0.0,0.0,0.0
2015-02-04,169.33572471440522,170.54811828639697,168.9952565509967,169.4519805908203,134306700,0.0,0.0,0.0
2015-02-05,170.1162948329842,171.31207672868194,170.04156163223797,171.16259765625,97953200,0.0,0.0,0.0
2015-02-06,171.52794148061264,172.09262177973125,170.16608186277418,170.68923950195312,125672000,0.0,0.0,0.0
2015-02-09,170.041503021563,170.76394905497295,169.51834545478468,169.9252471923828,87219000,0.0,0.0,0.0
2015-02-10,170.96334239535142,171.9930338174349,169.9668488410305,171.73561096191406,96164200,0.0,0.0,0.0
2015-02-11,171.569513303633,172.2670485751251,170.92180016997025,171.83523559570312,91087800,0.0,0.0,0.0
2015-02-12,172.63238779239109,173.54583567729958,171.86841895725738,173.48770141601562,97545900,0.0,0.0,0.0
2015-02-13,173.61224934881218,174.25165012345386,173.35481394121052,174.2018280029297,93670400,0.0,0.0,0.0
2015-02-17,173.88633010543833,174.65031178289502,173.63721941815933,174.47592163085938,76968200,0.0,0.0,0.0
2015-02-18,174.10217201252124,174.567195333946,173.83643715974412,174.49246215820312,80652900,0.0,0.0,0.0
2015-02-19,173.8946427201711,174.73334493517586,173.75347577334497,174.3679656982422,91462500,0.0,0.0,0.0
2015-02-20,173.95272895489586,175.48897879666274,173.32992701973706,175.41424560546875,140896400,0.0,0.0,0.0
2015-02-23,175.1651157667689,175.3893280029297,174.78312501890014,175.3893280029297,74411100,0.0,0.0,0.0
2015-02-24,175.3146238371642,176.0869049805219,175.01567834149998,175.88760375976562,72472300,0.0,0.0,0.0
2015-02-25,175.7629939467492,176.2446289111117,175.39761482406476,175.7380828857422,73061700,0.0,0.0,0.0
